Datetime,kwh
28-01-2020 09:00,0.4437
28-01-2020 10:00,0.4433
28-01-2020 11:00,0.1562
28-01-2020 12:00,0.166
28-01-2020 13:00,0.2062
28-01-2020 14:00,0.1969
28-01-2020 15:00,0.2439
28-01-2020 16:00,0.2764
28-01-2020 17:00,0.2736
28-01-2020 18:00,0.3008
28-01-2020 19:00,0.2624
28-01-2020 20:00,0.3421
28-01-2020 21:00,0.2665
28-01-2020 22:00,0.2299
28-01-2020 23:00,0.1643
29-01-2020 00:00,0.108
29-01-2020 01:00,0.1333
29-01-2020 02:00,0.1438
29-01-2020 03:00,0.1125
29-01-2020 04:00,0.1291
29-01-2020 05:00,0.1333
29-01-2020 06:00,0.1212
29-01-2020 07:00,0.1221
29-01-2020 08:00,0.2071
29-01-2020 09:00,0.187
29-01-2020 10:00,0.2298
29-01-2020 11:00,0.2843
29-01-2020 12:00,0.2165
29-01-2020 13:00,0.2472
29-01-2020 14:00,0.2304
29-01-2020 15:00,0.2372
29-01-2020 16:00,0.5264
29-01-2020 17:00,0.6366
29-01-2020 18:00,0.5107
29-01-2020 19:00,0.7105
29-01-2020 20:00,0.6871
29-01-2020 21:00,0.3525
29-01-2020 22:00,0.2715
29-01-2020 23:00,0.2115
30-01-2020 00:00,0.1915
30-01-2020 01:00,0.2138
30-01-2020 02:00,0.1869
30-01-2020 03:00,0.193
30-01-2020 04:00,0.1929
30-01-2020 05:00,0.1794
30-01-2020 06:00,0.1496
30-01-2020 07:00,0.1028
30-01-2020 08:00,0.2167
30-01-2020 09:00,0.1821
30-01-2020 10:00,0.1711
30-01-2020 11:00,0.129
30-01-2020 12:00,0.2264
30-01-2020 13:00,0.3219
30-01-2020 14:00,0.2477
30-01-2020 15:00,0.2935
30-01-2020 16:00,0.307
30-01-2020 17:00,0.3516
30-01-2020 18:00,0.3586
30-01-2020 19:00,0.3932
30-01-2020 20:00,0.3106
30-01-2020 21:00,0.2883
30-01-2020 22:00,0.1432
30-01-2020 23:00,0.1247
31-01-2020 00:00,0.127
31-01-2020 01:00,0.1352
31-01-2020 02:00,0.1425
31-01-2020 03:00,0.1332
31-01-2020 04:00,0.1139
31-01-2020 05:00,0.1373
31-01-2020 06:00,0.1416
31-01-2020 07:00,0.2466
31-01-2020 08:00,0.1472
31-01-2020 09:00,0.1689
31-01-2020 10:00,0.2439
31-01-2020 11:00,0.2111
31-01-2020 12:00,0.2958
31-01-2020 13:00,0.1583
31-01-2020 14:00,0.1665
31-01-2020 15:00,0.1511
31-01-2020 16:00,0.1932
31-01-2020 17:00,0.2264
31-01-2020 18:00,0.1743
31-01-2020 19:00,0.1521
31-01-2020 20:00,0.1634
31-01-2020 21:00,0.1354
31-01-2020 22:00,0.1226
31-01-2020 23:00,0.1573
01-02-2020 00:00,0.1063
01-02-2020 01:00,0.0784
01-02-2020 02:00,0.0995
01-02-2020 03:00,0.0994
01-02-2020 04:00,0.08
01-02-2020 05:00,0.0985
01-02-2020 06:00,0.0869
01-02-2020 07:00,0.0833
01-02-2020 08:00,0.1871
01-02-2020 09:00,0.1124
01-02-2020 10:00,0.1138
01-02-2020 11:00,0.1759
01-02-2020 12:00,0.1711
01-02-2020 13:00,0.1295
01-02-2020 14:00,0.1231
01-02-2020 15:00,0.1521
01-02-2020 16:00,0.1337
01-02-2020 17:00,0.1661
01-02-2020 18:00,0.1656
01-02-2020 19:00,0.1701
01-02-2020 20:00,0.1929
01-02-2020 21:00,0.1619
01-02-2020 22:00,0.1635
01-02-2020 23:00,0.1788
02-02-2020 00:00,0.2213
02-02-2020 01:00,0.1685
02-02-2020 02:00,0.1364
02-02-2020 03:00,0.1416
02-02-2020 04:00,0.1962
02-02-2020 05:00,0.118
02-02-2020 06:00,0.1598
02-02-2020 07:00,0.2141
02-02-2020 08:00,0.2628
02-02-2020 09:00,0.0997
02-02-2020 10:00,0.2108
02-02-2020 11:00,0.2124
02-02-2020 12:00,0.1837
02-02-2020 13:00,0.1779
02-02-2020 14:00,0.1759
02-02-2020 15:00,0.2528
02-02-2020 16:00,0.284
02-02-2020 17:00,0.2614
02-02-2020 18:00,0.1648
02-02-2020 19:00,0.1432
02-02-2020 20:00,0.1296
02-02-2020 21:00,0.165
02-02-2020 22:00,0.2066
02-02-2020 23:00,0.1012
03-02-2020 00:00,0.1031
03-02-2020 01:00,0.1041
03-02-2020 02:00,0.0968
03-02-2020 03:00,0.0879
03-02-2020 04:00,0.0994
03-02-2020 05:00,0.1018
03-02-2020 06:00,0.088
03-02-2020 07:00,0.2049
